p,r,G4,d,d_factors,pure_iii,obstruction,blocking_q,blocking_class
613523,229457603,57,0,,False,order_excess,0,
616169,1232339,57,0,,False,order_excess,0,
619589,1239179,57,0,,False,order_excess,0,
625913,1251827,201,0,,False,order_excess,0,
627377,96105373123,281,0,,False,order_excess,0,
628877,2204842763,57,0,,False,order_excess,0,
631901,1263803,57,0,,False,order_excess,0,
632347,3794083,179,0,,False,order_excess,0,
632459,676731131,171,0,,False,order_excess,0,
633427,2917564763,251,0,,False,order_excess,0,
633953,1267907,57,0,,False,order_excess,0,
636071,2924654459,129,0,,False,order_excess,0,
639677,16631603,99,0,,False,order_excess,0,
640793,1281587,57,0,,False,order_excess,0,
645581,1291163,57,0,,False,order_excess,0,
655489,3095219059,59,0,,False,order_excess,0,
656609,1313219,129,0,,False,order_excess,0,
659783,9236963,57,0,,False,order_excess,0,
664589,26154235507,67,0,,False,order_excess,0,
666821,17337347,513,0,,False,order_excess,0,
674669,1349339,129,0,,False,order_excess,0,
676469,8086510427,57,0,,False,order_excess,0,
677333,7722950867,5139,0,,False,order_excess,0,
679781,1359563,57,0,,False,order_excess,0,
682079,9549107,201,0,,False,order_excess,0,
684037,6840371,121,0,,False,order_excess,0,
684569,1369139,57,0,,False,order_excess,0,
685019,9590267,489,0,,False,order_excess,0,
691409,1382819,57,0,,False,order_excess,0,
691697,12450547,209,0,,False,order_excess,0,
692729,1385459,129,0,,False,order_excess,0,
696833,630579512027,417,0,,False,order_excess,0,
701669,39755162203,107,0,,False,order_excess,0,
701881,7018811,83,0,,False,order_excess,0,
702011,24333105283,2027,0,,False,order_excess,0,
702353,16015053107,57,0,,False,order_excess,0,
713477,378142811,8163,0,,False,order_excess,0,
713981,1427963,57,0,,False,order_excess,0,
722027,10108379,57,0,,False,order_excess,0,
723917,1373994467,99,0,,False,order_excess,0,
724079,10137107,57,0,,False,order_excess,0,
724187,1278914243,57,0,,False,order_excess,0,
726487,3090475699,1091,0,,False,order_excess,0,
728831,80171411,57,0,,False,order_excess,0,
729713,1459427,57,0,,False,order_excess,0,
732449,1464899,57,0,,False,order_excess,0,
735143,10292003,201,0,,False,order_excess,0,
737921,1475843,57,0,,False,order_excess,0,
750521,1501043,129,0,,False,order_excess,0,
753707,461641015259,513,0,,False,order_excess,0,
753799,270485695171,59,0,,False,order_excess,0,
754717,7547171,131,0,,False,order_excess,0,
758441,1516883,57,0,,False,order_excess,0,
763523,22905691,67,0,,False,order_excess,0,
763751,1917015011,81,0,,False,order_excess,0,
763897,7638971,121,0,,False,order_excess,0,
773951,21625738843,683,0,,False,order_excess,0,
774173,1548347,57,0,,False,order_excess,0,
783257,621906059,201,0,,False,order_excess,0,
783749,1567499,57,0,,False,order_excess,0,
786337,121095899,683,0,,False,order_excess,0,
786431,5541192827,81,0,,False,order_excess,0,
788213,3520159259,57,0,,False,order_excess,0,
789857,151325543203,121,0,,False,order_excess,0,
790649,187802856971,201,0,,False,order_excess,0,
792101,745317930739,67,0,,False,order_excess,0,
792263,429406547,489,0,,False,order_excess,0,
794009,1588019,57,0,,False,order_excess,0,
794693,1589387,57,0,,False,order_excess,0,
794831,1518127211,129,0,,False,order_excess,0,
799481,1598963,57,0,,False,order_excess,0,
801677,23340024179,4257,0,,False,order_excess,0,
802127,324795660587,171,0,,False,order_excess,0,
802793,1605587,201,0,,False,order_excess,0,
805723,105490089499,283,0,,False,order_excess,0,
812849,1625699,16257,0,,False,order_excess,0,
824777,555899699,129,0,,False,order_excess,0,
825287,24096729827,993,0,,False,order_excess,0,
834797,923285483,99,0,,False,order_excess,0,
837667,5026003,107,0,,False,order_excess,0,
841889,1683779,57,0,,False,order_excess,0,
846137,6716635507,209,0,,False,order_excess,0,
847361,1694723,57,0,,False,order_excess,0,
847883,11870363,57,0,,False,order_excess,0,
847937,15262867,67,0,,False,order_excess,0,
851957,3109643051,993,0,,False,order_excess,0,
852149,1704299,57,0,,False,order_excess,0,
852833,1705667,57,0,,False,order_excess,0,
855269,1710539,129,0,,False,order_excess,0,
858251,25747531,571,0,,False,order_excess,0,
861929,2856432707,201,0,,False,order_excess,0,
